Title,URL,Source,Summary,Date
Boeing drops vaccine mandate for US employees,https://journalrecord.com/2021/12/20/boeing-drops-vaccine-mandate-for-u-s-employees/,The Journal Record,"Boeing employees in Singapore and Australia are subject to federal mandates 
requiring new hires to show proof of vaccination.",1 day ago
Boeing suspends vaccine mandate for U.S. employees,https://www.reuters.com/business/aerospace-defense/exclusive-boeing-suspends-vaccination-requirement-us-based-employees-internal-2021-12-17/,Reuters,"In recent weeks, the number of Boeing employees seeking a vaccine exemption 
on religious or medical grounds had reached more than 11,000...",4 days ago
Democrats push FAA for action against certain Boeing 737 ...,https://www.seattletimes.com/business/boeing-aerospace/democrats-push-faa-for-action-against-boeing-737-max-employees/,The Seattle Times,"... the minutes of which detail “an explicit plan by multiple Boeing 
employees to downplay MCAS externally, including to regulators.”.",3 weeks ago
Senate committee pressures FAA to provide stricter oversight ...,https://www.bizjournals.com/seattle/news/2021/12/14/senate-issues-whistleblower-report.html,The Business Journals,"... a certification program that delegates authority to Boeing employees. 
... more than 1,500 designated Boeing employees, the report found.",1 week ago
Tradition returns to the football field with 2021 Boeing Apple Cup,https://www.boeing.com/features/2021/11/tradition-returns-to-the-football-field-with-2021-boeing-apple-cup.page,Boeing,"Boeing employees got to participate in some major game moments too. 
Executives Steve Chisholm and Craig Bomben, graduates of UW and WSU...",4 weeks ago
Lawmakers press FAA to bring Boeing to account for 737 Max ...,https://www.bizjournals.com/seattle/news/2021/12/01/house-committee-sends-faa-letter-on-max-crashes.html,The Business Journals,"While Boeing employees were aware that sensors on around 80% of the planes 
were not operational, its decision to continue to produce and deliver...",3 weeks ago
Unico Properties is the new owner of Boeing's Longacres ...,https://www.bizjournals.com/seattle/news/2021/12/17/seattle-company-buys-boeings-longacres-property.html,The Business Journals,"Boeing employees assigned to the headquarters building are working at other 
company properties or remotely. Like the sale of the Park Avenue...",4 days ago
Boeing announces donation of $1 million to tornado-affected communities,https://www.theintelligencer.com/news/article/Boeing-announces-donation-of-1-million-to-16710139.php,The Edwardsville Intelligencer,"In addition to corporate charitable investments, Boeing employees can give 
to their local communities by participating in volunteer and...",4 days ago
Boeing Donates $1 Million to Assist with Tornado Recovery ...,https://www.prnewswire.com/news-releases/boeing-donates-1-million-to-assist-with-tornado-recovery-and-relief-efforts-301446790.html,PR Newswire,"In addition to corporate charitable investments, Boeing employees give to 
their local communities by participating in volunteer and...",5 days ago
FAA: Boeing pilot charged in 737 Max crash is a 'scapegoat ...,https://www.heraldnet.com/business/faa-boeing-pilot-charged-in-737-max-crash-is-a-scapegoat/,Everett Herald,"The motion doesn't make clear whether the officials believe other Boeing 
employees committed crimes. The FAA has so far refused to allow any...",6 days ago
Navy Launches MQ-25 Unmanned Aircraft From Carrier,http://www.militaryspot.com/news/navy-launches-mq-25-unmanned-aircraft-from-carrier,MilitarySpot.com,"Boeing employees run diagnostics on the Boeing unmanned MQ-25 aircraft on 
the flight deck aboard the aircraft carrier USS George H.W. Bush...",21 hours ago
"Boeing donates $1mn to assist with tornado recovery, relief ...",https://ahmedabadmirror.com/boeing-donates-1mn-to-assist-with-tornado-recovery-relief-efforts/81814764.html,Ahmedabad Mirror,In addition to...,5 days ago
Boeings crash course,https://www.business-standard.com/article/beyond-business/boeing-s-crash-course-121120601537_1.html,Business Standard,"And there were the numerous instances when Boeing employees, including Mr 
Forkner, played down the importance of MCAS to federal regulators...",2 weeks ago
Boeing 737 Max Families Seek to Reopen Deferred ...,https://www.corporatecrimereporter.com/news/200/boeing-737-max-families-seek-to-reopen-deferred-prosecution-agreement/,Corporate Crime Reporter,"“We would have pointed out that the Boeing employees whose conduct form the 
basis of the Deferred Prosecution Agreement were acting in...",5 days ago
"U.S. COVID-19 vaccine mandate revived, Supreme Court ...",https://www.reuters.com/business/healthcare-pharmaceuticals/us-appeals-court-reinstates-covid-19-vaccine-or-test-rule-us-workplaces-2021-12-18/,Reuters,"A protester gestures at passing traffic as Boeing employees and others line 
the street to protest the company's coronavirus disease...",1 day ago
Boeing suspends vaccine mandate for employees | National,https://www.thedigitalcourier.com/news/national/boeing-suspends-vaccine-mandate-for-employees/article_35fef407-7ec1-5523-957c-4741d67a7f5c.html,thedigitalcourier.com,"Reuters reported last month that some 11,000 Boeing employees, about 9% of 
its North American workforce, had requested an exemption.",4 days ago
Boeing employees contribute $33 million to local communities,https://www.boeing.com/features/2020/12/boeing-employees-contribute-to-local-communities.page,Boeing,"Now, all eligible Boeing employees can select from a wide array of 
charitable organizations, including The Prince's Trust, FIRST Robotics 
Canada...","Dec 1, 2020"
Boeing employees face COVID vaccination deadline | 790 KGMI,https://kgmi.com/news/007700-boeing-employees-face-covid-vaccination-deadline/,KGMI,"Boeing employees face COVID vaccination deadline. By asmith October 13, 
2021 7:50 am. KGMI. Boeing has told employees they must be vaccinated 
against...","Oct 13, 2021"
FAA probing whether Boeing employees are being pressured on safety issues,https://www.cnn.com/2021/08/24/business/faa-probe-boeing/index.html,CNN,"New York (CNN Business) The Federal Aviation Administration is 
investigating whether Boeing employees who are supposed to flag safety...","Aug 24, 2021"
Boeing workers stage protest near Seattle over U.S. vaccine ...,https://www.reuters.com/world/us/boeing-workers-stage-protest-over-vaccine-mandate-2021-10-15/,Reuters,"Boeing employees and others line the street to wave signs and American 
flags to protest the company's coronavirus disease (COVID-19) vaccine...","Oct 16, 2021"
Delaware's Congressional Delegation Applauds Final ...,https://www.einnews.com/pr_news/558530362/delaware-s-congressional-delegation-applauds-final-passage-of-annual-defense-bill,EIN News,"... increased funding for CH-47F Block-II Chinook helicopters which will 
support hundreds of Delaware Boeing employees at Ridley Park.",6 days ago
"11,000 Boeing employees have asked for exemption from COVID-19 vaccine 
mandate",https://fortune.com/2021/11/08/boeing-covid-vaccine-mandate-religious-exemption/,Fortune,"11,000 Boeing employees have asked for exemption from COVID-19 vaccine 
mandate. By. Julie Johnsson. and. Bloomberg. November 8, 2021 7:14...",1 month ago
Two Boeing employees shot and injured on I-5 early Tuesday,http://www.seattletimes.com/seattle-news/crime/two-men-shot-and-injured-on-i-5-early-tuesday/,The Seattle Times,"State Patrol Trooper Rick Johnson said the two men, both Boeing employees, 
were in a vehicle heading north on I-5 near the Highway 516...","Jul 27, 2021"
Boeing employees help relieve hunger in Puget Sound,https://www.boeing.com/company/about-bca/washington/boeing-employees-help-relieve-hunger-in-the-community.page,Boeing,"During the 2021 Food & Essentials Drive, Boeing employees, with the help of 
the company gift match, raised more than $216,000 to assist...","Apr 7, 2021"
