Date,Job_Title,Rating,Current/Former,View_URL,Summary,Location,Recommend,CEO Approval,Business Outlook,Pros,Cons
10-Nov-21, Flight Simulator Technician,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW55201903.htm,Great Company,,Recommend,CEO Approval,Business Outlook,"The opportunity for growth and development,",Communication can sometimes be difficult due to management working out of the office.
16-Nov-21, Anonymous Employee,2.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW55425647.htm,Great if You are a Sellout,,Recommend,CEO Approval,Business Outlook,Great atmosphere. Everyone is willing to do what it takes to get the job done. Plenty of things to do.,"Have to play politics to advance a career. They don't give two flying cares about you unless you don't get your work done. Will make you do work outside of your scope and not compensate you for it, and some slappy jack will get the recognition for the work you did."
15-Oct-21, Human Resources Specialist,2.0,"Former Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW54036297.htm,Management,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,"Benefits 
Experience
People 
Travel 
Stock Options","Leadership 
Work Life balance 
No appreciation
Bullying 
Always putting more on the lower employees. 
Never listening to the teams always pushing for more but never taking care of the employee."
17-Oct-21, Supply Chain Quality Manager,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW54102151.htm,great,"in Herndon, VA",Recommend,CEO Approval,Business Outlook,no complains from the work or management,there is always room for improvement and employee training of new skill sets would be useful
18-Nov-21, Director,4.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW55554478.htm,"Good, dynamic company to work for","in Herndon, VA",Recommend,CEO Approval,Business Outlook,"Strong ethics, compliance and diversity.",Resources (people) can be a little but stretched from time to time.
17-Nov-21, Senior Developer,4.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW55515507.htm,Company Benefits,"in Dallas, TX",Recommend,CEO Approval,Business Outlook,Benefits and PTO/Vacation packages are good. Good Work like balance for a developer.,I have nothing to report. Enjoyed working for the company.
3-Aug-21, Airbus Blades,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW50637241.htm,Amazing Composite Repair Center,"in Grand Prairie, TX",Recommend,CEO Approval,Business Outlook,"Great working hours, flexible schedule, with excellent benefits that out perform most companies in the DFW Metroplex. Pay is very competitive and on the higher end of the pay scale in the aviation industry which leads many to stay until retirement age.",Large turn over in the coming years due to many technicians and leaders reaching retirement age.
25-Oct-21, Systems Engineer,4.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW54481177.htm,"Great product, Plenty of challenges","in Mobile, AL",Recommend,CEO Approval,Business Outlook,Manufacturing and testing aircraft is very challenging and a very rewarding experience.,Schedule pressures can sometimes affect your work-life balance.
4-Nov-21, Anonymous Employee,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW54915952.htm,Positive experience,,Recommend,CEO Approval,Business Outlook,Great atmosphere to work in.,Long commute to the office.
22-Sep-21, Principal Architect,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW52949104.htm,Good Company,"in Washington, DC",Recommend,CEO Approval,Business Outlook,Good team and good culture,"good culture, still emphasis to work on site"
14-Sep-21, Human Resources Assistant,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW52525167.htm,Excellent Company Environment,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,"Pay, Benefits, Environment, PTO, Management.","None, none, none, none, none."
27-Jul-21, Aircraft Mechanic,3.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW50338834.htm,Eh,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,Plenty of options for benefits that include more than just basic dental health and vision awesome facilities with air conditioning and lots of specialty tooling lots of training options and they will have you work outside your comfort zone and outside your general job description,clueless supervisors that just push hours and don't care about building a quality product little to no room for growth. Don't expect promotions or lateral movements. you will work outside your general job description and requirements. You will be asked to do menial tasks and jobs that belong to others and tasks way above your skills and talents.
7-Apr-21, Project Manager,4.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45173865.htm,Good benefits but bad politics,"in Washington, DC",Recommend,CEO Approval,Business Outlook,"- good benefits (PTO, health insurance, pension plan, etc.)
- international environment
- Offers great opportunities for mobility --> ability to work in different countries
- ability to work in different departments and gaining cross-functional and cross-divisional experiences 
- Pre-covid: one of the last companies that allows to fly business class if certain requirements are met","- politics, politics, politics
- promotion of managers because of networking and politics but not because of skills or competencies
- Work & life balance outside EU can be difficult at times
- Very slow when it comes to taking decisions 
- Big company = heavy processes
- not attractive for young talent as there is no real development path or room for growth (upwards)"
2-Sep-21, Anonymous Employee,4.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW52025812.htm,Benefits are a mixed bag,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,- Good health / vision / dental insurance - 5% 401K matching -,"- Maternity leave is considered short term disability, but has 100% pay so is essentially the same benefits but has room for improving the mechanism of how it is executed - No paternity leave and no ETA of when it will be launched - Tuition Reimbursement has room to be improved with amount of $ / yr is allocated"
14-Oct-21, Aircraft Manager,4.0,"Former Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW54013355.htm,Great,,Recommend,CEO Approval,Business Outlook,Easy job with great perks,Additional value to the department needed
13-Sep-21, Stress Engineer,3.0,"Former Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW52492235.htm,Stress Engineer at Airbus,,Recommend,CEO Approval,Business Outlook,People are generally nice and very respectful. The working environment is nice.,The survival of Airbus Americas depends on getting funds from Airbus-Europe and so Airbus Americas is not the master of its own destiny.
4-Oct-21, Supply Chain Manager,4.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW53493604.htm,good company,"in Herndon, VA",Recommend,CEO Approval,Business Outlook,"the very good Outlook of the company, the recruitment and keep your employee culture, the products",- everything is decided In Europe
10-Oct-21, Supply Chain Manager,3.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW53780257.htm,Good,"in New York, NY",Recommend,CEO Approval,Business Outlook,Great company to work with.,Slow to take important decisions.
24-Sep-21," Manager, Trade Shows",3.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW53057066.htm,Airbus Rating,"in Grand Prairie, TX",Recommend,CEO Approval,Business Outlook,"Working for Airbus can be fun, interesting, and challenging",At Airbus it sometimes feels like I have no clear career path.
26-Aug-21, Operations Leader,2.0,"Former Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW51703714.htm,Not for me,"in Mobile, AL",Recommend,CEO Approval,Business Outlook,"Good benefit package, and work shifts","Micromanage at its best, with very few folks that truly understand the Aircraft or itÕs systems, they just put them together."
