Title,URL,Source,Summary,Date
Where Are Parts Made For The Airbus A321XLR?,https://simpleflying.com/where-are-parts-made-for-the-airbus-a321xlr/,Simple Flying,"Saint-Nazaire is home to a little over 3,000 Airbus employees and 
assembles, equips, and tests the forward sections of the entire A320 family.","Aug 26, 2021"
12 Years Ago Today The First Lufthansa A380 Rolled Out Of Final Assembly,https://simpleflying.com/lufthansa-a380-final-assembly/,Simple Flying,"Several Airbus employees and journalists were onboard the New York flight, 
hoping to show US airlines how impressive the A380 could be.","Sep 7, 2021"
Foundation stone laid for new Airbus assembly factory in ...,https://hamburg-news.hamburg/en/location/foundation-stone-laid-new-airbus-assembly-factory-hamburg,Hamburg News,"Around one-hundred Airbus employees will work in the hall, which will be up 
to 38 metres in height on completion in mid 2022.","Oct 26, 2021"
AirbusÕ Hamburg Site Hit By COVID-19 Outbreak,https://simpleflying.com/airbus-hamburg-covid-19-outbreak/,Simple Flying,"It's not clear yet whether the Airbus employees contracted one of the new, 
more transmissible variants of COVID-19. Airbus shut down its...","Jan 26, 2021"
Air Canada preparing for retrojet rollout,https://skiesmag.com/news/air-canada-preparing-retrojet-rollout/,Skies Magazine,"Plane spotters across the continent will be on the lookout for the heritage 
livery, which was applied by 75 Airbus employees over a period...","Mar 25, 2021"
The Fall Of The Airbus A310,https://simpleflying.com/the-fall-of-the-airbus-a310/,Simple Flying,"I wish to express my sincere thanks and gratitude to all customers and all 
Airbus employees who have participated over the years in...","Apr 2, 2021"
"'Gravest crisis' as Airbus plans to cut 15,000 jobs, 1,700 in UK",https://www.theguardian.com/business/2020/jun/30/gravest-crisis-as-airbus-plans-to-cut-15000-jobs-1700-in-uk,The Guardian,"... to bear the brunt of UK job losses, employed about 6,000 workers before 
the crisis, with a total of 14,000 Airbus employees in the UK.","Jul 1, 2020"
The evolution of cabin overhead bins have improved the flying experience,https://www.businessinsider.com/the-evolution-of-cabin-overhead-bins-improved-the-flying-experience-2021-10,Business Insider,"Airbus employees working on the Airspace XL bin Airbus. Source: The Wall 
Street Journal. Boeing's 60-inch Space Bins can hold 50% more...","Oct 17, 2021"
Airbus Appoints Catherine Jestin as EVP Digital and ...,https://www.travelnewsasia.com/news21/216-CatherineJestin.shtml,Travel News Asia,"... is responsible for driving state of the art Information Technology 
systems and solutions in support of Airbus employees, customers and 
suppliers.","Oct 24, 2021"
Airbus Says It Will Focus On Improving Existing Aircraft,https://simpleflying.com/airbus-improving-existing-aircraft/,Simple Flying,"Airbus Employees Protest Against Potential Job Cuts. byLinnea Ahlgren. ANA, 
Boeing 787 Dreamliner, Tokyo Haneda...","Jun 11, 2021"
HCL-Airbus sign 5-year pact for digital workplaces,https://www.livemint.com/companies/news/hcl-signs-five-year-global-deal-with-airbus-11612416821298.html,Mint,"... workplace to enhance the user experience and service quality for a 
majority of Airbus employees globally, the Noida-based company said.","Feb 5, 2021"
